id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x479e278b856e8917:0x472eeec8ea2a5ca7,TRES LLAMAS Spezialitäten - Café,84028,,4.8,133,Café / Konditorei,48.5346095,12.154027,39,Gewerbepark Nürnberg-Feucht,true,2,5,3.5,2.56,4.703,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/TRES+LLAMAS+Spezialit%C3%A4ten+-+Caf%C3%A9/data=!4m7!3m6!1s0x479e278b856e8917:0x472eeec8ea2a5ca7!8m2!3d48.5346095!4d12.154027!16s%2Fg%2F11ll3865dp!19sChIJF4luhYsnnkcRp1wq6sjuLkc?authuser=0&hl=de&rclk=1,2026-05-13T20:02:48Z,active,success,
0x479e260b4f80cca7:0xd303085d5e8ed0f7,TUK-TUK Süd-Ostasiatische Esskultur,84028,,4.3,223,Asiatisch,48.5402627,12.1509094,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/TUK-TUK+S%C3%BCd-Ostasiatische+Esskultur/data=!4m7!3m6!1s0x479e260b4f80cca7:0xd303085d5e8ed0f7!8m2!3d48.5402627!4d12.1509094!16s%2Fg%2F1tgcx0_5!19sChIJp8yATwsmnkcR99COXl0IA9M?authuser=0&hl=de&rclk=1,2026-05-13T20:15:27Z,active,success,
0x479e27d956b39317:0x108b2b123d0a20c2,Tagesbar im Modehaus Oberpaur,84028,,4.9,12,Café / Konditorei,48.5345308,12.1500198,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Tagesbar+im+Modehaus+Oberpaur/data=!4m7!3m6!1s0x479e27d956b39317:0x108b2b123d0a20c2!8m2!3d48.5345308!4d12.1500198!16s%2Fg%2F11h5mb80f_!19sChIJF5OzVtknnkcRwiAKPRIrixA?authuser=0&hl=de&rclk=1,2026-05-13T20:05:14Z,active,success,
0x479e2727bbec8993:0xa17ad02d210df61a,Tanda Palace,84028,,4.9,284,Asiatisch,48.5326519,12.1488625,39,Gewerbepark Nürnberg-Feucht,true,21,50,35.5,11.11,4.467,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Tanda+Palace/data=!4m7!3m6!1s0x479e2727bbec8993:0xa17ad02d210df61a!8m2!3d48.5326519!4d12.1488625!16s%2Fg%2F11smzm09b5!19sChIJk4nsuycnnkcRGvYNIS3QeqE?authuser=0&hl=de&rclk=1,2026-05-13T20:07:13Z,active,success,
0x479e2673ea3ef8a9:0x21c9fe607bf6b7f7,Tante Frieda Cafe & Bistro,84028,,4.2,1140,Restaurant,48.5355183,12.1514351,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Tante+Frieda+Cafe+%26+Bistro/data=!4m7!3m6!1s0x479e2673ea3ef8a9:0x21c9fe607bf6b7f7!8m2!3d48.5355183!4d12.1514351!16s%2Fg%2F11c5x7fp5c!19sChIJqfg-6nMmnkcR97f2e2D-ySE?authuser=0&hl=de&rclk=1,2026-05-13T20:03:49Z,active,success,
0x479e260cbf10a199:0x22529207e31f051e,Taverna Delphi,84028,,4.6,774,Restaurant,48.5404663,12.1534901,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Taverna+Delphi/data=!4m7!3m6!1s0x479e260cbf10a199:0x22529207e31f051e!8m2!3d48.5404663!4d12.1534901!16s%2Fg%2F1vxfz4dt!19sChIJmaEQvwwmnkcRHgUf4weSUiI?authuser=0&hl=de&rclk=1,2026-05-13T20:11:54Z,active,success,
0x479e2673db5b2717:0x30f749fe9f096209,Taverne im Vitztumb,84028,,4.6,292,Restaurant,48.5349955,12.1494454,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Taverne+im+Vitztumb/data=!4m7!3m6!1s0x479e2673db5b2717:0x30f749fe9f096209!8m2!3d48.5349955!4d12.1494454!16s%2Fg%2F1q627wzdm!19sChIJFydb23MmnkcRCWIJn_5J9zA?authuser=0&hl=de&rclk=1,2026-05-13T20:11:10Z,active,success,
0x479e270031254e91:0xb35691002f0a5327,Tetja,84028,,,,Bäckerei,48.547689,12.1793172,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Tetja/data=!4m7!3m6!1s0x479e270031254e91:0xb35691002f0a5327!8m2!3d48.547689!4d12.1793172!16s%2Fg%2F11z2g4217m!19sChIJkU4lMQAnnkcRJ1MKLwCRVrM?authuser=0&hl=de&rclk=1,2026-05-13T20:27:55Z,active,success,
0x479e2672896daa1d:0xc19cb86e9af90db3,Thai-Restaurant Luk-Yaamo&Bar-Landshut,84028,,4.4,241,Asiatisch,48.536729,12.1559344,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Thai-Restaurant+Luk-Yaamo%26Bar-Landshut/data=!4m7!3m6!1s0x479e2672896daa1d:0xc19cb86e9af90db3!8m2!3d48.536729!4d12.1559344!16s%2Fg%2F11_t3v1n5!19sChIJHaptiXImnkcRsw35mm64nME?authuser=0&hl=de&rclk=1,2026-05-13T20:13:04Z,temporarily_closed,success,
0x479e2671130ed21d:0x940ef2cad8e60d11,The Butcher,84028,,4.5,820,Café / Konditorei,48.5335085,12.150526,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/The+Butcher/data=!4m7!3m6!1s0x479e2671130ed21d:0x940ef2cad8e60d11!8m2!3d48.5335085!4d12.150526!16s%2Fg%2F1wtbswk5!19sChIJHdIOE3EmnkcREQ3m2MryDpQ?authuser=0&hl=de&rclk=1,2026-05-13T20:09:27Z,active,success,
0x479e26787d86c461:0xb45ca3d44b17feaf,The Unicorne Inn,84028,,4.8,372,Bar / Kneipe,48.5279835,12.1405357,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/The+Unicorne+Inn/data=!4m7!3m6!1s0x479e26787d86c461:0xb45ca3d44b17feaf!8m2!3d48.5279835!4d12.1405357!16s%2Fg%2F1ptyqnwhx!19sChIJYcSGfXgmnkcRr_4XS9SjXLQ?authuser=0&hl=de&rclk=1,2026-05-13T20:23:04Z,active,success,
0x479e25ddbf8b0fa7:0x259ad1e286f0fd1e,Totaj Bäckerei,84028,,4.8,312,Bäckerei,48.5397427,12.1366746,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Totaj+B%C3%A4ckerei/data=!4m7!3m6!1s0x479e25ddbf8b0fa7:0x259ad1e286f0fd1e!8m2!3d48.5397427!4d12.1366746!16s%2Fg%2F11h9bnffn6!19sChIJpw-Lv90lnkcRHv3whuLRmiU?authuser=0&hl=de&rclk=1,2026-05-13T20:24:39Z,active,success,
0x479e27ecd4afbf97:0x86139fb16b689d3e,"Trattoria Amalfi - Café, Bistro, Wine Bar",84028,,4.4,22,Restaurant,48.5405545,12.1500559,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,"https://www.google.com/maps/place/Trattoria+Amalfi+-+Caf%C3%A9,+Bistro,+Wine+Bar/data=!4m7!3m6!1s0x479e27ecd4afbf97:0x86139fb16b689d3e!8m2!3d48.5405545!4d12.1500559!16s%2Fg%2F11x1nxfkdm!19sChIJl7-v1OwnnkcRPp1oa7GfE4Y?authuser=0&hl=de&rclk=1",2026-05-13T20:12:57Z,temporarily_closed,success,
0x479e27243e98296b:0x5b7da6ad38f6c77e,Turm Café Landshut,84028,,4.9,50,Café / Konditorei,48.546671,12.1526921,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Turm+Caf%C3%A9+Landshut/data=!4m7!3m6!1s0x479e27243e98296b:0x5b7da6ad38f6c77e!8m2!3d48.546671!4d12.1526921!16s%2Fg%2F11y2h5_438!19sChIJaymYPiQnnkcRfsf2OK2mfVs?authuser=0&hl=de&rclk=1,2026-05-13T20:03:11Z,active,success,
0x479e267258eec1c9:0x890b13fd4f8ae516,VU & Friends Asian Fusion,84028,,4.4,885,Sushi,48.536634,12.1543695,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/VU+%26+Friends+Asian+Fusion/data=!4m7!3m6!1s0x479e267258eec1c9:0x890b13fd4f8ae516!8m2!3d48.536634!4d12.1543695!16s%2Fg%2F1q6683h13!19sChIJycHuWHImnkcRFuWKT_0TC4k?authuser=0&hl=de&rclk=1,2026-05-13T20:12:09Z,active,success,
0x479e2609224f0a8d:0xb87c06975e03e4d4,Via del Gusto Landshut,84028,,4.7,152,Restaurant,48.546572,12.1531271,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Via+del+Gusto+Landshut/data=!4m7!3m6!1s0x479e2609224f0a8d:0xb87c06975e03e4d4!8m2!3d48.546572!4d12.1531271!16s%2Fg%2F11f12_758r!19sChIJjQpPIgkmnkcR1OQDXpcGfLg?authuser=0&hl=de&rclk=1,2026-05-13T20:21:42Z,active,success,
